,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
I127,Cardboard 1,Object,Pixabay,4.018518519,0.431937203,108,1.980769231,1.372268827,104
I128,Cardboard 2,Object,Pixabay,4.009259259,0.587969266,108,2.067307692,1.476445634,104
I129,Cardboard 3,Object,Pixabay,3.745098039,0.80452033,102,1.861386139,1.273025553,101
I130,Cat 1,Animal,Pixabay,5.421568627,1.164119303,102,3.841584158,1.573103132,101
I131,Cat 2,Animal,Pixabay,5.495049505,1.171526887,101,3.980582524,1.748840414,103
I132,Cat 3,Animal,Pixabay,6,1.119078393,108,4.221153846,1.900213227,104
I133,Cat 4,Animal,Pixabay,5.843137255,1.078549613,102,3.534653465,1.763884103,101
I134,Cat 5,Animal,Pixabay,6.215686275,0.991323258,102,4.861386139,1.789020419,101
I135,Cat 6,Animal,Pixabay,4.715686275,1.464953289,102,4.02970297,1.687930363,101
I136,Cat 7,Animal,Wikipedia,3.323529412,1.259905424,102,4.405940594,1.575932853,101
I137,Cat 8,Animal,Flickr/Markus Schoepke,4.764705882,1.38003064,102,3.633663366,1.508129784,101
I138,Cat 9,Animal,Pixabay,5.333333333,1.339549373,108,3.605769231,1.753876534,104
I139,Cat 10,Animal,Pixabay,5.450980392,1.157219705,102,3.425742574,1.478827472,101
I140,Cat 11,Animal,Pixabay,5.366336634,1.18087063,101,3.601941748,1.641017175,103
I141,Cat 12,Animal,Wikipedia,5.185185185,1.239144626,108,3.384615385,1.719718267,104
I142,Cat 13,Animal,Flickr/Marjolein Knuit,5.455445545,1.16210802,101,3.718446602,1.932272236,103
I143,Cat 14,Animal,Skeezix Scratching Post,5.705882353,1.156884133,102,4.00990099,1.717527581,101
I144,Celebration 1,Person,Pixabay,5.323529412,1.10947106,102,3.801980198,1.69127054,101
I145,Celebration 2,Scenery,Pixabay,4.892156863,1.07082704,102,4.158415842,1.474670629,101
I146,Cemetery 1,Scenery,Pixabay,4.107843137,1.356370103,102,3.485148515,1.682937084,101
I147,Cemetery 2,Scenery,Pixabay,3.99009901,1.29224649,101,4.213592233,1.933454114,103
I148,Cemetery 3,Scenery,Pixabay,2.944444444,1.372856585,108,3.634615385,1.885343018,104
I149,Cemetery 4,Scenery,Pixabay,2.794117647,1.188544624,102,4.336633663,1.909330918,101
I150,Cemetery 5,Scenery,Pixabay,2.509803922,1.224705243,102,4.702970297,1.830543933,101
I151,Cheerleader 1,Person,Pixabay,5.294117647,1.215316732,102,4.277227723,1.738498271,101
I152,Cheerleader 2,Person,Pixabay,5.198019802,1.104715366,101,4.126213592,1.649002144,103
I153,Child labor 1,Person,Pixabay,4.259259259,1.008101485,108,3.278846154,1.497290308,104
I154,Child labor 2,Person,Pixabay,2.821782178,1.12601989,101,3.650485437,1.797104086,103
I155,Child labor 3,Person,Pixabay,4.088235294,1.178209257,102,3.504950495,1.58507894,101
I156,Child labor 4,Person,Pixabay,4.018518519,0.995142234,108,3.038461538,1.582201225,104
I157,Children 1,Person,Flickr/Stefano Corso,5.722772277,1.049941064,101,3.524271845,1.708368446,103
I158,Chipmunk 1,Animal,Pixabay,5.411764706,1.0841152,102,3.277227723,1.662039782,101
I159,Chipmunk 2,Animal,Flickr/Gilles Gonthier,5.735294118,0.932647361,102,4.23,1.716556337,100
I160,Chipmunk 3,Animal,Pixabay,5.529411765,0.908767878,102,3.722772277,1.64389058,101
I161,City 1,Scenery,Pixabay,4.435643564,1.043224248,101,3.13592233,1.565864691,103
I162,Clean 1,Object,Pixabay,5.046296296,1.079843007,108,2.365384615,1.488191007,104
I163,Cliff diver 1,Person,Wikipedia,4.833333333,1.267126892,102,4.851485149,1.589881371,101
I164,Cliff diver 2,Person,Wikipedia,5.108910891,1.057364555,101,4.087378641,1.639624515,103
I165,Cliff diver 3,Person,Wikipedia,5.12037037,1.399049027,108,4.75,1.629521343,104
I166,Cockroach 1,Animal,Pixabay,2.058823529,1.175858897,102,4.346534653,2.174560386,101
I167,Cockroach 2,Animal,Pixabay,2.264705882,1.296808501,102,4.108910891,2.167491592,101
I168,Cockroach 3,Animal,Pixabay,2.450980392,1.309730915,102,3.940594059,2.067954459,101
I169,Cockroach 4,Animal,Pixabay,2.284313725,1.237831472,102,3.940594059,2.087207619,101
I170,Coffee 1,Object,Pixabay,5.549019608,1.095693198,102,3.801980198,1.708916627,101
I171,Cold 1,Object,Pixabay,3.99009901,1.053518386,101,3.475728155,1.6618243,103
I172,Cold 2,Object,Pixabay,4.732673267,0.798637454,101,2.59223301,1.568294273,103
I173,Cold 3,Object,Pixabay,4.882352941,1.065146461,102,2.801980198,1.581264064,101
I174,Cold 4,Object,Pixabay,5.068627451,1.026961335,102,2.96039604,1.636586643,101
I175,Cold 5,Scenery,Pixabay,5.490740741,1.036667652,108,3.201923077,1.855873948,104
I176,Cold 6,Person,Pixabay,4.960784314,1.098347712,102,4.287128713,1.633013372,101
I177,Cold 7,Person,Pixabay,5.294117647,1.148293916,102,3.386138614,1.865316579,101
I178,Cold 8,Object,Pixabay,5.524752475,1.162704257,101,3.485436893,1.685370022,103
I179,Collaboration 1,Person,Pixabay,5.431372549,0.969942368,102,3.346534653,1.602720459,101
I180,Cotton swabs 1,Object,Pixabay,4.098039216,0.738070859,102,2.188118812,1.390775836,101
I181,Cotton swabs 2,Object,Pixabay,4.058823529,0.523195237,102,1.861386139,1.249237391,101
I182,Cotton swabs 3,Object,Pixabay,4.12745098,0.60805759,102,1.811881188,1.246698611,101
I183,Couple 1,Person,Pixabay,5.539215686,1.248139753,102,3.96039604,1.660847928,101
I184,Couple 2,Person,Pixabay,5.62745098,1.089295972,102,3.772277228,1.528928959,101
I185,Couple 3,Person,Pixabay,4.009259259,1.410874789,108,3.442307692,1.6359251,104
I186,Couple 4,Person,Pixabay,5.970588235,1.238458658,102,4.534653465,1.453026885,101
I187,Couple 5,Animal,Pixabay,4.990740741,1.278838334,108,3.471153846,1.630752586,104
I188,Couple 6,Person,Pixabay,5.607843137,1.100466712,102,4.138613861,1.510163587,101
I189,Couple 7,Person,Pixabay,5.916666667,0.958240209,108,4.25,1.363533388,104
I190,Couple 8,Person,Pixabay,5.759259259,1.057862157,108,4.163461538,1.589471286,104
I191,Couple 9,Person,Pixabay,5.814814815,1.006039223,108,3.442307692,1.556863433,104
I192,Crosswalk 1 ,Scenery,StockOGraphy,3.962962963,0.668740285,108,2.317307692,1.596503601,104
I193,Crow 1,Animal,Pixabay,4.705882353,1.095338777,102,2.801980198,1.523284622,101
I194,Crow 2,Animal,Pixabay,4.407407407,1.184297868,108,2.663461538,1.432023329,104
I195,Cups 1,Object,Pixabay,4.277227723,0.61836578,101,2.029126214,1.451546239,103
I196,Cups 2,Object,Pixabay,4.148514851,0.433269861,101,2.087378641,1.408007883,103
I197,Cups 3,Object,Pixabay,4.725490196,0.902766515,102,2.257425743,1.425857394,101
I198,Cups 4,Object,Pixabay,4.138888889,0.618383986,108,2.201923077,1.339321721,104
I199,Dancing 1,Person,Pixabay,5.303921569,0.962558633,102,3.435643564,1.615028431,101
I200,Dancing 2,Person,Pixabay,5.215686275,1.10469252,102,3.485148515,1.578694786,101
I201,Dancing 3,Person,Pixabay,4.882352941,1.212918236,102,3.851485149,1.645515959,101
I202,Dancing 4,Person,Pixabay,5.539215686,1.199600335,102,3.653465347,1.465848857,101
I203,Dancing 5,Person,Pixabay,5.696078431,1.060442796,102,3.544554455,1.500165007,101
I204,Dancing 6,Person,Pixabay,5.805555556,0.941844813,108,3.692307692,1.564639126,104
I205,Dancing 7,Person,Pixabay,5.87037037,1.094528385,108,3.375,1.462724549,104
I206,Dancing 8,Person,Pixabay,5.31372549,0.889770158,102,3.405940594,1.422520424,101
I207,Dancing 9,Person,Pixabay,5.584158416,0.972289327,101,3.834951456,1.578638576,103
I208,Dead bodies 1,Person,Wikipedia,1.198019802,0.735116344,101,4.514563107,2.484714359,103
I209,Dead bodies 2,Person,Wikipedia,1.247524752,0.698655002,101,4.475728155,2.371582826,103
I210,Dead bodies 3,Person,Wikipedia,1.323529412,0.810350917,102,5.128712871,2.157143325,101
I211,Depressed face 1,Person,Pixabay,3.764705882,0.880779027,102,3.069306931,1.511670769,101
I212,Depressed face 2,Person,Pixabay,3.824074074,1.039668384,108,3.019230769,1.513568209,104
I213,Depressed pose 1,Person,Wikipedia,2.694444444,0.825508434,108,3.451923077,1.665642578,104
I214,Depressed pose 2,Person,Pixabay,3.485148515,0.93395783,101,3.242718447,1.623757561,103
I215,Depressed pose 3,Person,Wikipedia,2.656862745,0.959528536,102,4.00990099,1.565215956,101
I216,Depressed pose 4,Person,Wikipedia,3.254901961,0.828768316,102,3.287128713,1.458332155,101
I217,Desert 1,Scenery,Pixabay,4,1.394247192,108,3.269230769,1.791190791,104
I218,Dessert 1,Object,Pixabay,5.333333333,1.11987741,102,3.405940594,1.644251914,101
I219,Dessert 2,Object,Pixabay,5.735294118,1.10736929,102,3.247524752,1.757304416,101
I220,Dessert 3,Object,Pixabay,5.633663366,1.074455883,101,4.203883495,1.822297749,103
I221,Dessert 4,Object,Pixabay,5.388888889,1.03971,108,3.115384615,1.620905251,104
I222,Dessert 5,Object,Pixabay,5.534653465,0.900714788,101,3.86407767,1.674775628,103
I223,Dessert 6,Object,Pixabay,5.588235294,1.093209836,102,3.851485149,1.785419495,101
I224,Dessert 7,Object,Pixabay,5.453703704,1.122282881,108,3.134615385,1.784821072,104
I225,Dessert 8,Person,Pixabay,5.768518519,0.913107885,108,3.365384615,1.701271325,104
I226,Destruction 1,Scenery,Pixabay,3.176470588,1.531269872,102,4.316831683,1.77161335,101
I227,Destruction 4,Scenery,Pixabay,1.842592593,0.938900103,108,3.932692308,2.063385958,104
I228,Destruction 5,Scenery,Pixabay,2.148514851,1.080612221,101,3.805825243,1.899732966,103
I229,Destruction 6,Scenery,Pixabay,2.00990099,1.187392517,101,4.097087379,2.130610532,103
I230,Destruction 7,Scenery,Pixabay,2.00990099,0.953887305,101,3.854368932,2.102322558,103
I231,Destruction 8,Scenery,Pixabay,2.235294118,1.136055976,102,4.227722772,1.765679405,101
I232,Destruction 9,Scenery,Pixabay,3.555555556,0.878968526,108,2.485436893,1.667827504,103
I233,Destruction 10,Scenery,Pixabay,2.099009901,1.044078067,101,3.59223301,1.967564899,103
I234,Dirt 1,Scenery,Pixabay,1.607843137,0.822419309,102,4.98019802,1.97979897,101
I235,Destruction 2,Scenery,Pixabay,2.18627451,1.0218445,102,3.059405941,1.776636047,101
I236,Destruction 3,Scenery,Pixabay,1.898148148,0.916513251,108,3.596153846,2.055157995,104
I237,Dirt 2,Scenery,Pixabay,5.598039216,1.074085417,102,3.346534653,1.857071046,101
I238,Dirt 3,Scenery,Pixabay,4.138613861,0.566210261,101,2.038834951,1.371433557,103
I239,Dirt 4,Scenery,Pixabay,4,0.808372035,102,1.910891089,1.209123731,101
I240,Dirt 5,Scenery,Pixabay,3.544554455,0.830960318,101,1.990291262,1.37552233,103
I241,Dock 1,Scenery,Pixabay,5.564356436,1.023873445,101,3.640776699,1.63211861,103
I242,Doctor 1,Person,Pixabay,4.666666667,1.11987741,102,3.148514851,1.602411549,101
I243,Doctor 2,Person,Pixabay,4.055555556,1.288579116,108,3.653846154,1.788687379,104
I244,Doctor 3,Person,Pixabay,4.351851852,1.162617212,108,3.182692308,1.670790889,104
I245,Doctor 4,Person,Pixabay,3.811881188,1.19760487,101,3.883495146,1.827357306,103
I246,Doctor 5,Person,Pixabay,3.683168317,1.057645433,101,3.640776699,1.736880057,103
I247,Doctor 6,Person,Pixabay,4.382352941,0.901529148,102,2.554455446,1.438577405,101
I248,Doctor 7,Person,Pixabay,3.343137255,1.156086759,102,4.415841584,1.767864965,101
I249,Doctor 8,Person,Pixabay,3.732673267,1.130407795,101,3.922330097,1.87705088,103
I250,Doctor 9,Person,Pixabay,3.676470588,1.195385225,102,4.108910891,1.496001271,101
I251,Dog 1,Animal,Pixabay,5.138613861,1.191886765,101,4.32038835,1.566897723,103
I252,Dog 2,Animal,Pixabay,5.900990099,1.0344559,101,4.398058252,1.635031965,103
I253,Dog 3,Animal,Pixabay,5.745098039,1.011677115,102,3.524752475,1.628459759,101
I254,Dog 4,Animal,Pixabay,6.203703704,0.954666446,108,3.961165049,1.857271508,103
I255,Dog 5,Animal,Pixabay,5.940594059,1.075376977,101,4.669902913,1.838522155,103
I256,Dog 6,Animal,Pixabay,6.490196078,0.780265226,102,5.02970297,1.723110243,101
I257,Dog 7,Animal,Pixabay,5.656862745,1.085412711,102,3.97029703,1.796972151,101
I258,Dog 8,Animal,Pixabay,5.431372549,1.338758135,102,4.386138614,1.679108674,101
I259,Dog 9,Animal,Public Domain Photos,4.12745098,1.199600335,102,4.059405941,1.742537128,101
I260,Dog 10,Animal,Pixabay,5.647058824,0.940266013,102,3.881188119,1.663052186,101
I261,Dog 11,Animal,Pixabay,5.657407407,1.060435786,108,3.634615385,1.637294075,104
I262,Dog 12,Animal,Wikipedia,6.287128713,0.778930468,101,4.40776699,1.623581693,103
I263,Dog 13,Animal,Flickr/Waldo Jaquith,5.852941176,1.137976829,102,4.059405941,1.736788889,101
I264,Dog 14,Animal,Flickr/hairygrumpy,5.891089109,0.988948837,101,4.194174757,1.615235383,103
I265,Dog 15,Animal,Wikipedia,3.431372549,1.743501677,102,3.930693069,1.812497866,101
I266,Dog 16,Animal,Pixabay,5.392156863,1.449867613,102,4.811881188,1.683525297,101
I267,Dog 17,Animal,Pixabay,5.227722772,1.231918732,101,3.844660194,1.607319542,103
I268,Dog 18,Animal,Pixabay,6.196078431,0.844776796,102,4.881188119,1.511867248,101
I269,Dog 19,Animal,Pixabay,5.940594059,0.967696049,101,4.349514563,1.643219806,103
I270,Dog 20,Animal,Pixabay,5.900990099,0.943450587,101,4.194174757,1.633342852,103
I271,Dog 21,Animal,Pixabay,5.990196078,0.969792241,102,4.04950495,1.675566994,101
I272,Dog 22,Animal,Pixabay,5.098039216,1.278224356,102,3.881188119,1.58295375,101
I273,Dog 23,Animal,Flickr/Daniel Pascoal,2.676470588,1.408332802,102,4.821782178,1.829732437,101
I274,Dog 24,Animal,Wikipedia,1.892156863,1.080033578,102,4.772277228,2.158152859,101
I275,Dog 25,Animal,Flickr/InkHong,3.453703704,1.530892228,108,4.057692308,1.794419197,104
I276,Dog 26,Animal,Flickr/virtualcorey,1.296296296,0.687121304,108,4.855769231,2.304146828,104
I277,Dog 27,Animal,Wikipedia,5.326732673,1.31231788,101,4.223300971,1.614469128,103
I278,Dog 28,Animal,Flickr/wplynn,5.592592593,1.184297868,108,3.557692308,1.789000497,104
I279,Dog 29,Animal,Pixabay,5.362745098,1.032052801,102,4,1.708800749,101
I280,Dog 30,Animal,All-free-download.com,4.583333333,1.589245398,108,3.567307692,1.777772267,104
I281,Dog 31,Animal,Wikipedia,2.083333333,1.103308533,108,4.201923077,1.972528847,104
I282,Dog attack 1,Animal,Wikipedia,2.851851852,1.445682032,108,4.586538462,1.825443566,104
I283,Dog attack 2,Animal,Wikipedia,3.425742574,1.243756686,101,4.475728155,1.62604211,103
I284,Dog attack 3,Animal,Wikipedia,2.647058824,1.279287076,102,5.089108911,1.562683653,101
I285,Drink 1,Object,Pixabay,4.558823529,1.029981538,102,2.712871287,1.614537913,101
I286,Drink 2,Object,Pixabay,4.362745098,1.241120666,102,2.871287129,1.534036286,101
I287,Dummy 1,Object,Flickr/Christopher Michel,1.157407407,0.549630922,108,5.201923077,2.378625726,104
I288,Eating 1,Person,Wikipedia,5.683168317,0.968820861,101,3.475728155,1.613938431,103
I289,Eating 2,Person,Publicdomainpictures.net,5.333333333,1.017989995,102,3.237623762,1.744411161,101
I290,Eating 3,Person,Wikipedia,5.148148148,1.048495271,108,2.625,1.462724549,104
I291,Elephant 1,Animal,Pixabay,5.862745098,0.975331532,102,4.386138614,1.56185977,101
I292,Excited face 1,Person,Flickr/Aaron Shumaker,5.574257426,1.042559683,101,3.834951456,1.698309929,103
